Chapter,Dial,Index,Name,Content,SHAnim,CatAnim
2,3,1,Sunhwa,Imagine my ugly face reflected in that river. That's truly horrible.,3,0
2,4,0,Sunhwa,It's raining. This is gonna tear the box apart.Let's find something to keep the box from getting wet.,3,4
2,5,0,Sphinx,"Thanks to you waiting for me, I have the courage to stand in front of the world without a box.",0,3
2,5,1,Sphinx,"It was hust the owner's standard that I was ugly, but I couldn't get out of the box because I was shaken there. Thanks to you waiting for me, I have the courage to stand in front of the world without a box.",0,3
2,5,2,Sphinx,It's the music I really liked. I've always wondered who's playing that.,0,3
2,5,3,Sphinx,"Just as you put an umbrella on me and stayed with me, I want to support him.",0,3
2,6,0,Sunhwa,I always hid myself in my hoodie hat because I thought I was so ugly.,4,0
2,6,1,Sunhwa,Why did I think I was ugly? I have my own charm like those Sphinxes. What? Now I have a tail like a cat!,4,0
2,7,0,Sunhwa,Now I might be able to cross that stepping stone without shaking.,1,0
2,7,1,Sunhwa,Then can I meet someone who recognizes me as I am like Sphinx?,1,0
3,0,0,Sunhwa,"I have cat eyes and a tail, but why is my shadow still human?",2,0
3,0,1,Sunhwa,"When the morning comes, do I have to go back to my old self?",2,0
3,0,2,Sunhwa,"I thought I could be a cat, but I guess I failed again.",2,0
3,0,3,Sunhwa,"Come to think of it .. I used to hang out here with nero a lot. If I go a little further, I'll see the tree we used to rest.",1,0
3,1,0,Sunhwa,Hi..? Uh-huh. You're Nero! What are you doing here? I'm Seon-Hwa. The bobbed-haired kid who used to play with you in this field.,4,1
3,1,1,Nero,Seon-Hwa! Of course I remember,4,1
3,1,2,Sunhwa,"By the way, what are these shiny pieces floating around you?",1,1
3,1,3,Nero,Those are pieces of memories. It contains my past memories. Our cats organize their past by looking at those pieces before they leave the world.,1,1
3,1,4,Nero,But I'm so old that I don't have the strength to see those pieces. Can you help me collect my memory pieces?,1,1
3,2,0,Nero,"You found a piece of memory from when I was very young. I was good at observing and distinguishing flowers, but my parents didn't understand me.",0,1
3,2,1,Nero,Only cats that are good at hunting are recognized by society.,0,1
3,3,0,Nero," If I become a butterfly, I thought I could live comfortably without thinking about anything while freely walking among the flowers",0,1
3,4,0,Nero,"Seon-Hwa, you liked me just the way I am. Regardless of my hunting skills or what I like and do well.",1,1
3,5,0,Nero,"Looking back, thanks to you, I was able to go on an adventure to find myself, not myself trapped in other people's eyes or standards of society.",1,1
3,5,1,Nero,"Thank you so much, Seon-Hwa.",1,1
3,6,0,Sunhwa,"With the eyes that Gogo gave me as a gift, I can saw things that I had never seen before.",3,0
3,6,1,Sunhwa,The tail that the Sphinx gave me told me that I didn't have to be swayed by other people's eyes.,3,0
3,6,2,Sunhwa,"And finally, thanks to the cat's ears Nero gave me, I can hear my inner voice.",3,0
3,6,3,Sunhwa,"I didn't want to be a cat, I just want to love myself for who I am!",3,0
